Codigo_Item_Negativo;Descricao_Item_Negativo;NCM;Saldo_Loja1;Saldo_Loja2_Deposito;Saldo_Loja3_CD;Deficit_Pecas;Status_Cobertura;Saldo_Total_Disponivel_NCM;Doador1_Codigo;Doador1_Descricao;Doador1_Saldo_Total;Doador1_Loja1;Doador1_Loja2;Doador1_Loja3;Doador2_Codigo;Doador2_Descricao;Doador2_Saldo_Total;Doador2_Loja1;Doador2_Loja2;Doador2_Loja3;Doador3_Codigo;Doador3_Descricao;Doador3_Saldo_Total;Doador3_Loja1;Doador3_Loja2;Doador3_Loja3
"15684";"LCA26740 COLAR E BRINCO COM JUNTO DE METAL12 PCS POR DUZIA";"71171900";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15685";"LCA68085 COLAR E BRINCO COM JUNTO DE METAL";"71171900";-4,00;0,00;0,00;4,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15693";"KBA33285 BRINCO DE METAL";"71171900";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15696";"XC-E13 - CHAVEIRO DE PLASTICO";"39269090";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";112.503,00;"472";"BM-751 MOUSE PAD COM APOIO DE PULSO EM GEL";5.314,00;213,00;0,00;5.101,00;"26519";"MS3009 - LACRADO DE EMBALAGENS DE SACO PLSTICO";4.599,00;114,00;4.485,00;0,00;"16945";"MM-3 SUPORTE DE MAQUIAGEM";2.807,00;1.465,00;0,00;1.342,00
"15720";"SM37002 RABICO";"96151100";-78,00;0,00;0,00;78,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
"15721";"SM50018 ANEL";"71179000";-151,00;0,00;-89,00;240,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
"15769";"CR-2031 - P BOLSINHA KIT FEMININA";"42022210";-63,00;0,00;0,00;63,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"15801";"CR-2030 - P BOLSA FEMININA";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"15805";"SM665075 ANEL SONIC";"71179000";-23,00;0,00;0,00;23,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
"15806";"SM665063 CONJUNTO DO STITCH";"96151100";-13,00;0,00;0,00;13,00;"COBERTURA_TOTAL";24.342,00;"7302";"DIVA -LB029-038-ORNAMENTO PARA CABELO (PIRANHA) - PLASTICO - 6 PECAS POR CARTELA";2.733,00;2.733,00;0,00;0,00;"21476";"GRAMPO/PIRANHA/PRESILHA  - NCM:96151100 - MATRIZ";2.408,00;1.924,00;0,00;484,00;"41513";"CB9888-T64211 -PIRANHA";1.835,00;1.835,00;0,00;0,00
