Quebra 1;Quebra 2;Código;Descrição;EMB;NCM;Estoque;Estoque Mínimo;Estoque Máximo;Custo (R$);Preço (R$);Total Custo (R$);Total Venda (R$)
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16687;OI-0144 - PRATILEIRA DE ALUMINIO PARA BANHEIRO;UN;76151000;30,00;0,00;0,00;3,76;29,00;112,80;870,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16694;OI-0410 - VARAL PARA TOALHA;UN;73239300;14,00;0,00;0,00;2,00;18,00;28,00;252,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16697;C961 BOLSA EM MATERIAL PLASTICO;UN;42022210;12,00;0,00;0,00;2,90;33,50;34,80;402,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16699;OIH-3207 BALANCA DIGITAL;UN;84231000;18,00;0,00;0,00;1,06;23,00;19,08;414,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16703;OIA-8222 APONTADOR DE ELETRICO;UN;84729040;42,00;0,00;0,00;1,74;30,00;73,08;1260,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16707;OI-0207 - CONJUNTO 7 LAMINAS DE UTENSILIO DE ACO INOX PARA COZINHA;UN;82119100;14,00;0,00;0,00;29,78;37,00;416,92;518,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16712;C1167 BOLSA EM MATERIAL PU;UN;42022210;18,00;0,00;0,00;2,90;30,50;52,20;549,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16714;C1097 PORTA MOEDA;UN;42023200;88,00;0,00;0,00;0,50;5,00;44,00;440,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16717;C1079 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16721;C1082 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16723;C1076 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16724;OI-0122 ORGANIZADOR DE ROUPAS DE METAL;UN;73239900;30,00;0,00;0,00;1,00;126,00;30,00;3780,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16726;C1087 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16727;C1075 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16737;C1073 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16740;C821 CARTEIRA DE POLIURETANO;UN;42023200;18,00;0,00;0,00;1,00;10,50;18,00;189,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16742;OI-0066 - TABUA DE CORTE DE PLASTICO PARA COZINHA;UN;39241000;23,00;0,00;0,00;5,48;11,50;126,04;264,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16746;OI-0406 - SUPORTE DE ACO INOX PARA USO DOMESTICO;UN;73239300;10,00;0,00;0,00;6,03;32,50;60,30;325,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16749;OI-0409 - SUPORTE DE SECADOR;UN;73239300;20,00;0,00;0,00;3,55;16,00;71,00;320,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16756;OI-0330 - ORGANIZADOR DE MAKE;UN;39249000;14,00;0,00;0,00;15,54;52,00;217,56;728,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16762;OI-0345 - ROLO FITA  AUTOADESIVA;UN;39191090;10,00;0,00;0,00;0,94;6,00;9,40;60,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16797;LLP-70258 EMBALAGEM SENDO CAIXA DE PRESENTE DE DIVERSAS CORES E FORMAS;UN;48194000;24,00;0,00;0,00;3,29;12,50;78,96;300,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16799;BT-398 SACOLA PORTA-FERRAMENTAS - CONFECCIONADA EM MATERIAL SINTETICO;UN;42029200;20,00;0,00;0,00;1,17;94,00;23,40;1880,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16800;BMG-60 SUPORTE DE PLASTICO PARA CELULAR (UNIVERSAL);UN;39269090;5,00;0,00;0,00;2,11;16,00;10,55;80,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16801;LLP-70257 EMBALAGEM SENDO CAIXA DE PRESENTE DE DIVERSAS CORES E FORMAS;UN;48194000;23,00;0,00;0,00;4,48;16,50;103,04;379,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16803;"LLP-70247-G CAIXA VERMELHA ""LOVE YOU"" DE TAMANHO GRANDE";UN;48194000;18,00;0,00;0,00;7,73;26,00;139,14;468,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16807;BM-R813 RELOGIODE MESA COM DESPERTADOR ANALOGICO;UN;91051100;20,00;0,00;0,00;4,08;21,00;81,60;420,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;17594;TRC1048 BANDEJA RETANGULAR DE MADEIRA GRANDE;UN;44199000;12,00;0,00;0,00;10,64;29,00;127,68;348,00
