Codigo;Descricao;EMB;NCM;Saldo_Loja_1;Saldo_Loja_2_Deposito;Saldo_Loja_3_CD;Saldo_Total;Custo_Unit;Preco_Unit;Valor_Estoque_Total
"32432";"BM362961 PORTA PERFUME VIDRO FD 12ML";"UN";"96161000";25,00;0,00;282,00;307,00;1,83;11,00;561,81
"32433";"BM362775 QUADRO DECORATIVO 32.7X24.00 LED NIGHT USB SORTIDOS";"UN";"44149000";28,00;0,00;0,00;28,00;12,00;72,00;336,00
"32434";"WC411121 DIFUSOR TAMMY 200ML FUME";"UN";"70139900";33,00;0,00;36,00;69,00;2,65;16,00;182,85
"32435";"BM-F1328 SUPORTE  DE UTENSILHOS DE COZINHA FEITO EM INOX - TAMANHO: 6*50*55CM";"UN";"73239300";10,00;0,00;40,00;50,00;2,81;34,00;140,50
"32436";"BM-F1592 SUPORTE DE METAL MULTIUSO - TAMANHO: 40*15*24CM";"UN";"73239900";14,00;0,00;0,00;14,00;7,82;53,00;109,48
"32437";"BM362813 PORTA PERFUME VIDRO FD 20ML";"UN";"96161000";24,00;0,00;204,00;228,00;1,50;9,00;342,00
"32442";"CD001  COLCHA BED SPREAD DIAMOND BRANCO SOLTEIRO";"UN";"94044000";1,00;0,00;2,00;3,00;75,00;135,00;225,00
"32444";"CD001 COLCHA BED SPREAD DIAMOND CINZA SOLTEIRO";"UN";"94044000";1,00;0,00;2,00;3,00;75,00;135,00;225,00
"32445";"CD001 COLCHA BED SPREAD DIAMOND VERDE SOLTEIRO";"UN";"94044000";1,00;0,00;2,00;3,00;75,00;135,00;225,00
"32446";"CD002  COLCHA BED SPREAD DIAMOND BRANCO CASAL";"UN";"94044000";1,00;0,00;2,00;3,00;99,00;178,00;297,00
"32447";"CD002  COLCHA BED SPREAD DIAMOND BEGE CASAL";"UN";"94044000";1,00;0,00;2,00;3,00;99,00;178,00;297,00
"32448";"CD002 COLCHA BED SPREAD DIAMOND CINZA CASAL";"UN";"94044000";2,00;0,00;1,00;3,00;99,00;178,00;297,00
"32450";"CD003 COLCHA BED SPREAD DIAMOND BRANCO QUEEN";"UN";"94044000";1,00;0,00;2,00;3,00;119,00;214,00;357,00
"32451";"CD003  COLCHA BED SPREAD DIAMOND BEGE QUEEN";"UN";"94044000";1,00;0,00;2,00;3,00;119,00;214,00;357,00
"32453";"CD004 COLCHA BED SPREAD DIAMOND BRANCO KING";"UN";"94044000";1,00;0,00;2,00;3,00;129,00;232,00;387,00
"32454";"CD004 COLCHA BED SPREAD DIAMOND BEGE KING";"UN";"94044000";1,00;0,00;2,00;3,00;129,00;232,00;387,00
"32455";"CD004  COLCHA BED SPREAD DIAMOND CINZA KING";"UN";"94044000";1,00;0,00;2,00;3,00;129,00;232,00;387,00
"32456";"CD004  COLCHA BED SPREAD DIAMOND VERDE KING";"UN";"94044000";1,00;0,00;2,00;3,00;129,00;232,00;387,00
"32457";"AC001  COLCHA CROSS BRANCO SOLTEIRO";"UN";"94044000";1,00;0,00;2,00;3,00;99,00;178,00;297,00
"32458";"AC001  COLCHA CROSS BEGE SOLTEIRO";"UN";"94044000";1,00;0,00;2,00;3,00;99,00;178,00;297,00
"32459";"AC001 COLCHA CROSS CINZA SOLTEIRO";"UN";"94044000";1,00;0,00;2,00;3,00;99,00;178,00;297,00
"32461";"AC002  COLCHA CROSS BEGE CASAL";"UN";"94044000";1,00;0,00;2,00;3,00;145,00;261,00;435,00
"32463";"AC003 COLCHA CROSS BRANCO QUEEN";"UN";"94044000";2,00;0,00;1,00;3,00;159,00;286,00;477,00
"32464";"AC003  COLCHA CROSS BEGE QUEEN";"UN";"94044000";1,00;0,00;2,00;3,00;159,00;286,00;477,00
"32465";"AC003 COLCHA CROSS CINZA QUEEN";"UN";"94044000";1,00;0,00;2,00;3,00;159,00;286,00;477,00
"32466";"AC004 COLCHA CROSS BRANCO KING";"UN";"94044000";1,00;0,00;2,00;3,00;175,00;315,00;525,00
"32467";"AC004  COLCHA CROSS BEGE KING";"UN";"94044000";1,00;0,00;2,00;3,00;175,00;315,00;525,00
"32468";"AC004 COLCHA CROSS CINZA KING";"UN";"94044000";1,00;0,00;2,00;3,00;175,00;315,00;525,00
"32473";"CB002   BICOLOR BRANCO BEGE CASAL";"UN";"94044000";1,00;0,00;5,00;6,00;125,00;196,00;750,00
"32474";"CB002  BICOLOR ROSA BEGE CASAL";"UN";"94044000";1,00;0,00;2,00;3,00;109,00;196,00;327,00
"32475";"CB002  BICOLOR CINZA CINZA CASAL";"UN";"94044000";1,00;0,00;2,00;3,00;109,00;196,00;327,00
"32476";"CB002  BICOLOR VERDE CINZA CASAL";"UN";"94044000";1,00;0,00;5,00;6,00;125,00;196,00;750,00
"32477";"CB003  BICOLOR BRANCO BEGE QUEEN";"UN";"94044000";1,00;0,00;2,00;3,00;109,00;225,00;327,00
