Codigo;Descricao;NCM;Loja_Origem;Loja_Destino;Qtd_Transferir;Custo_Unit;Valor_Transferencia;Saldo_Origem_Antes;Saldo_Origem_Depois;Saldo_Destino_Antes;Saldo_Destino_Depois
"33634";"TOP0272 - KIT PA  VASSOURA PLASTICO 25.5X72CM";"96039000";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;3,93;19,65;22,00;17,00;-5,00;0,00
"33782";"BOM-5926 - IMA DE PESCA MAGNETICA - DIAMETRO DA BASE 60MM";"85051100";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;5,33;26,65;5,00;0,00;-7,00;-2,00
"33783";"BOM-2713 - TRAVA METALICA TIPO CORRENTE EM ACO INOX  SP";"83024900";"Loja 3 (CD)";"Loja 1 (Loja)";7,00;1,02;7,14;70,00;63,00;-7,00;0,00
"33786";"CS-015 -ARRANHADOR ADESIVO PARA GATOS 50*80CM";"39269090";"Loja 3 (CD)";"Loja 1 (Loja)";10,00;4,00;40,00;54,00;44,00;-10,00;0,00
"33792";"9163 SACOLA PARA PRESENTE DE PAPEL (M)";"48192000";"Loja 3 (CD)";"Loja 1 (Loja)";9,00;1,89;17,01;324,00;315,00;-9,00;0,00
"33794";"9529 SACOLA PARA PRESENTES DE PAPEL (P)";"48192000";"Loja 3 (CD)";"Loja 1 (Loja)";9,00;1,35;12,15;324,00;315,00;-9,00;0,00
"33795";"9530 SACOLA PARA PRESENTE DE PAPEL (M)";"48192000";"Loja 3 (CD)";"Loja 1 (Loja)";15,00;1,89;28,35;324,00;309,00;-15,00;0,00
"33798";"XL24201 CESTA EM INOX P/ SERVIR FRITURAS - 237CM COM ALÇA";"82152000";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;5,12;25,60;36,00;31,00;-5,00;0,00
"33800";"F0388 ORGANIZADOR MULTIUSO";"63079090";"Loja 3 (CD)";"Loja 1 (Loja)";10,00;7,02;70,20;24,00;14,00;-10,00;0,00
"33825";"FJ91205 SACOLA PARA PRESENTES FLORAL (M)";"48194000";"Loja 3 (CD)";"Loja 1 (Loja)";18,00;1,89;34,02;324,00;306,00;-18,00;0,00
"33828";"FJ91399 BANDEJA DE PLASTICO QUADRADA FLOR(P)";"39241000";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;6,64;6,64;26,00;25,00;-1,00;0,00
"33836";"XL24219 CONJ. DE TALHRES 24 PEÇAS - BETA SOBRE";"82159910";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;13,45;13,45;12,00;11,00;-1,00;0,00
"33838";"F0339 FRUTEIRA";"39241000";"Loja 3 (CD)";"Loja 1 (Loja)";11,00;5,40;59,40;26,00;15,00;-11,00;0,00
"33839";"F0378 FRUTEIRA CX48";"39241000";"Loja 3 (CD)";"Loja 1 (Loja)";24,00;5,40;129,60;24,00;0,00;-26,00;-2,00
"33841";"FJ90113 BANDEJA DE PLASTICO CX60";"39241000";"Loja 3 (CD)";"Loja 1 (Loja)";10,00;4,86;48,60;36,00;26,00;-10,00;0,00
"33846";"FJ92006 LAÇO MAGICO CORACAO (M)";"39269090";"Loja 3 (CD)";"Loja 1 (Loja)";9,00;0,59;5,31;570,00;561,00;-9,00;0,00
"33855";"TOP2497 CONJUNTO DE PROTETORES QUADRADO P/ MOVEIS C/";"39269090";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;2,53;15,18;6,00;0,00;-13,00;-7,00
"33859";"DELTA-F5116 FONE OUVIDO 50MM";"85183000";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;9,54;57,24;6,00;0,00;-10,00;-4,00
"33870";"MTG-400 SUPORTE 360 3 EM 1";"39269090";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;11,81;11,81;15,00;14,00;-1,00;0,00
"33872";"MTG-5555 EQUIPAMENTO PARA PRODUCAO DE VIDEO";"96200000";"Loja 3 (CD)";"Loja 1 (Loja)";4,00;6,29;25,16;10,00;6,00;-4,00;0,00
"33887";"LCW-XXB06-M COLETE PEITORAL PARA PET PARA PASSEIOS";"42010090";"Loja 3 (CD)";"Loja 1 (Loja)";3,00;5,11;15,33;60,00;57,00;-3,00;0,00
"33893";"LCW-YYF24-M ROUPA PARA CAES  RESPIRAVEL E CONFORTAVEL";"42010090";"Loja 3 (CD)";"Loja 1 (Loja)";15,00;2,06;30,90;78,00;63,00;-15,00;0,00
"33895";"BL-48 CARREGADOR DE BATERIA TENSAO 21V";"85076000";"Loja 3 (CD)";"Loja 1 (Loja)";12,00;7,95;95,40;24,00;12,00;-12,00;0,00
"34059";"GDR1931 CARRO QUE VIRA ROBO";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";9,00;1,83;16,47;36,00;27,00;-9,00;0,00
"34095";"YP222-24 KIT PINCEIS 9 PECAS";"96033000";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;8,60;17,20;2,00;0,00;-7,00;-5,00
"34130";"702002 ADESIVO PARA ACNE";"39269090";"Loja 3 (CD)";"Loja 1 (Loja)";3,00;9,60;28,80;3,00;0,00;-33,00;-30,00
"34131";"702006 ADESIVO PARA ACNE";"39269090";"Loja 3 (CD)";"Loja 1 (Loja)";3,00;9,60;28,80;3,00;0,00;-18,00;-15,00
"34134";"ZX0085-AU3 UNHA POSTICA /24PC";"39269090";"Loja 3 (CD)";"Loja 1 (Loja)";3,00;29,40;88,20;3,00;0,00;-6,00;-3,00
"34150";"ON-SF002 COLCHAO INFLAVEL AUTOMATICO  300 KG 200 X 150 X 40 CM";"94018000";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;80,36;80,36;4,00;3,00;-1,00;0,00
"34151";"BOM-2270 ACABAMENTO DE REGISTRO";"84818019";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;1,31;6,55;40,00;35,00;-5,00;0,00
"34152";"ON-SF003 ESPREGUICADEIRA INFLAVEL  COM BOMBA";"94018000";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;29,80;149,00;10,00;5,00;-5,00;0,00
"34166";"FOT0018 PORTA RETRATO DE PLASTICO 15CM X 20CM";"44201900";"Loja 3 (CD)";"Loja 1 (Loja)";7,00;3,59;25,13;33,00;26,00;-7,00;0,00
"34168";"FOT0223 PORTA RETRATO DE MDF";"44201900";"Loja 3 (CD)";"Loja 1 (Loja)";10,00;1,99;19,90;76,00;66,00;-10,00;0,00
"34169";"FOT0224 PORTA RETRATO DE MDF";"44201900";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;2,58;15,48;57,00;51,00;-6,00;0,00
"34170";"FOT0225 PORTA RETRATO";"44201900";"Loja 3 (CD)";"Loja 1 (Loja)";36,00;3,59;129,24;48,00;12,00;-36,00;0,00
"34175";"MTT-0905 FONTE DE ALIMENTAÇÃO";"85044090";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;3,08;3,08;30,00;29,00;-1,00;0,00
"34195";"FOT0005 PORTA RETRATO DE PLASTICO 15CM X 20CM";"44149000";"Loja 3 (CD)";"Loja 1 (Loja)";8,00;2,42;19,36;57,00;49,00;-8,00;0,00
"34196";"FOT0006 PORTA RETRATO 20X25CM";"44149000";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;3,37;6,74;2,00;0,00;-31,00;-29,00
"34197";"FOT0056 PORTA RETRATO 15X20 CM DE PLASTICO DECORATIVO";"44201900";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;2,58;15,48;52,00;46,00;-6,00;0,00
"34206";"FOT0065 PORTA RETRATO DE MDF";"44201900";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;3,96;23,76;60,00;54,00;-6,00;0,00
"34217";"1770 LUVA TERMICA ALTA TEMPERATURA B-005 AXTWOOD";"61161000";"Loja 3 (CD)";"Loja 1 (Loja)";13,00;5,25;68,25;24,00;11,00;-13,00;0,00
"34261";"2306 TRICICLO TEDDY BLUE";"95030010";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;331,67;331,67;1,00;0,00;-1,00;0,00
"34263";"2409 ESCAVADEIRA B LAND VERMELHA 12V";"95030010";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;832,96;832,96;1,00;0,00;-1,00;0,00
"34270";"VPL-3423 AUTO-FALANTE PARA CARRO";"85129000";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;25,86;25,86;7,00;6,00;-1,00;0,00
"34271";"VPL-5001-20 PALHETA P/CARROS";"85129000";"Loja 3 (CD)";"Loja 1 (Loja)";11,00;2,74;30,14;50,00;39,00;-11,00;0,00
"34299";"DB-1915 BOLSA";"42022210";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;12,64;63,20;20,00;15,00;-5,00;0,00
"34300";"DB-1937 BOLSA";"42022210";"Loja 3 (CD)";"Loja 1 (Loja)";16,00;12,64;202,24;30,00;14,00;-16,00;0,00
"34302";"DC-01253 BOLSA";"42022210";"Loja 3 (CD)";"Loja 1 (Loja)";4,00;12,64;50,56;12,00;8,00;-4,00;0,00
"34303";"DC-01255 BOLSA";"42022210";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;12,64;63,20;12,00;7,00;-5,00;0,00
"34306";"DC-01275 BOLSA";"42022210";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;12,64;75,84;12,00;6,00;-6,00;0,00
"34309";"DC-01260 BOLSA";"42022210";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;12,64;25,28;12,00;10,00;-2,00;0,00
"34351";"QB-334 MINI PET APITO DISPLAY";"95030039";"Loja 3 (CD)";"Loja 1 (Loja)";52,00;5,40;280,80;144,00;92,00;-52,00;0,00
"34354";"YD-3019 LABIRINTO AVENGERS DISPLAY";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";42,00;3,96;166,32;144,00;102,00;-42,00;0,00
"34355";"YD-3037 CUBO MAGICO AVENGERS DISPLAY";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";38,00;3,46;131,48;132,00;94,00;-38,00;0,00
"34359";"YD-804 PIAO PIRAMIDE STITCH";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;11,16;66,96;72,00;66,00;-6,00;0,00
"34360";"YD-393 MINI JOGO BASQUETE BL SPIDER";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;8,57;17,14;120,00;118,00;-2,00;0,00
"34361";"YD-1014 OCULOS FILME PRINCESAS";"90049090";"Loja 3 (CD)";"Loja 1 (Loja)";3,00;18,65;55,95;120,00;117,00;-3,00;0,00
"34362";"YD-830 BONECA 15CM PRINCESAS DISPLAY";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";7,00;17,93;125,51;24,00;17,00;-7,00;0,00
"34374";"6667 PLACA DECORATIVA 21X15CM FRASES SORTIDO MDF";"44201900";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;4,75;28,50;28,00;22,00;-6,00;0,00
"34397";"DV81466 JOGO DE CANECA COM URSO";"69131000";"Loja 3 (CD)";"Loja 1 (Loja)";36,00;3,60;129,60;108,00;72,00;-36,00;0,00
"34398";"DV81429 JOGO DE VIAGEM COM";"96050000";"Loja 3 (CD)";"Loja 1 (Loja)";20,00;5,40;108,00;60,00;40,00;-20,00;0,00
"34436";"0010 CAMISA";"61069000";"Loja 3 (CD)";"Loja 1 (Loja)";41,00;3,75;153,75;250,00;209,00;-41,00;0,00
"34437";"0110 BUCKET BRASIL";"65040090";"Loja 3 (CD)";"Loja 1 (Loja)";120,00;1,88;225,60;120,00;0,00;-133,00;-13,00
"34438";"7961 VISEIRA";"65040090";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;1,50;7,50;90,00;85,00;-5,00;0,00
"34440";"6220 - OCULOS 622016640";"90041000";"Loja 3 (CD)";"Loja 1 (Loja)";8,00;1,75;14,00;33,00;25,00;-8,00;0,00
