Codigo;qtd
25231;30
25234;30
25235;30
25238;20
25240;10
25241;48
25242;12
25250;30
25255;10
25260;50
25262;10
25265;10
25273;26
25291;10
25352;22
25354;5
25355;5
25356;4
25360;10
25362;37
25379;10
25394;25
25403;12
25412;35
25415;400
25418;168
25421;24
25428;50
25432;28
25438;25
25449;10
25451;108
25452;51
25453;138
25454;171
25456;21
25464;50
25465;72
25470;1
25472;1
25476;10
25477;1
25478;10
25479;10
25480;10
25482;10
25484;10
25486;10
25487;20
25488;10
25489;18
25490;10
25511;120
25539;10
25540;30
25541;10
25542;1
25544;55
25545;100
25546;2
25547;70
25552;45
25624;10
25665;10
25667;80
25671;240
25672;388
25675;90
25679;180
25680;80
25687;90
25688;90
25689;12
25691;12
25692;12
25693;12
25694;12
25696;12
25697;12
25699;12
25700;12
25701;12
25702;122
25802;230
25896;8
25898;8
25900;100
25907;8
25908;8
25909;8
25910;8
25911;8
25912;8
25913;1
25914;8
25917;1
25918;1
25919;200
25950;50
25952;62
26394;10
26452;8
26456;180
26459;240
26530;500
26531;30
26532;600
26533;900
26534;1635
26535;450
26537;225
26541;10
26644;8
26654;8
26772;12
26845;30
26846;20
26872;50
26876;6
26878;10
26880;30
26896;16
26897;50
26900;2
26908;54
27041;600
27047;139
27068;50
27074;90
27081;50
27114;16
27123;100
27157;53
27163;50
27185;100
27196;50
27199;50
27247;20
27249;60
27250;2
27253;2
27256;60
27257;100
27260;25
27265;25
27268;50
27271;4
27272;20
27281;72
27284;25
27286;72
27287;10
27314;3
27318;25
27321;28
27323;10
27324;25
27326;25
27327;4
27328;15
27330;20
27332;5
27333;10
27335;10
27336;3
27338;25
27357;4
27374;48
27377;24
27433;96
27457;30
27463;20
27481;96
27484;20
27488;600
27489;400
27490;240
27506;20
27804;300
27809;72
27813;600
27814;555
27816;1035
27820;564
28058;1
28098;3
28221;48
28222;48
28227;90
28231;60
28237;30
28239;48
28242;120
28244;120
28245;12
28246;60
28247;60
28249;60
28251;60
28253;60
28255;30
28257;30
28258;30
28259;30
28260;30
28287;100
28288;50
28289;50
28291;50
28292;50
28396;7
28397;21
28450;35
28453;1
28458;2
28466;3
28473;150
28479;20
28480;20
28482;64
28637;624
28676;84
28694;1
28791;100
28801;75
28804;200
28806;10
28807;40
28878;30
28879;30
28890;30
28891;30
28893;25
28896;31
28898;60
28899;45
28900;60
28901;60
28905;9
28920;160
28923;30
28930;187
29046;5
29049;76
29093;2
29143;100
29145;131
29168;60
29170;100
29172;18
29177;40
29178;50
29179;62
29403;100
29435;50
29444;50
29445;45
29454;36
29466;10
29469;16
29476;12
29518;80
29534;20
29537;10
29545;25
29546;9
29549;69
29551;210
29553;20
29558;110
29562;20
29563;8
29566;100
29567;30
29584;1
29586;2
29587;1
29599;60
29600;100
29632;50
29633;120
29634;120
29635;120
29753;30
29754;30
29755;30
29757;30
29759;60
29760;30
29761;30
29762;30
29764;60
29767;12
29771;108
29780;12
29782;16
29783;12
29785;12
29787;12
29857;100
29861;100
29896;216
29935;72
29940;72
29947;72
29948;72
29949;72
29950;72
29951;72
29952;72
29953;72
29954;72
29955;72
29956;72
29957;72
29991;16
30000;60
30001;24
30009;50
30012;30
30013;30
30014;120
30016;15
30024;20
30025;25
30029;65
30036;50
30051;25
30053;100
30055;32
30057;24
30058;30
30060;25
30097;60
30151;100
30159;3
30161;50
30175;3
30176;3
30179;3
30185;10
30190;50
30191;50
30194;15
30195;170
30198;15
30226;10
30282;40
30293;10
30294;4
30304;2
30313;100
30314;100
30316;100
30317;50
30320;50
30321;100
30324;100
30325;30
30326;30
30330;20
30332;20
30334;40
30336;100
30339;50
30341;100
30349;60
30350;59
30351;60
30355;60
30357;60
30359;48
30361;96
30369;20
30370;60
30371;25
30383;36
30389;60
30391;60
30393;180
30511;30
30523;30
30545;30
30546;30
30547;36
30564;50
30567;60
30595;20
30597;480
30599;72
30606;60
30608;100
30610;30
30611;30
30612;40
30614;24
30615;24
30616;60
30617;60
30618;60
30619;60
30620;24
30621;200
30622;18
30623;50
30624;90
30625;30
30627;38
30628;30
30632;20
30634;20
30637;19
30638;30
30639;40
30645;30
30795;30
30797;30
30798;25
30799;25
30800;25
30812;2
30821;75
30823;25
30826;50
30827;50
30828;15
30829;1
30830;2
30832;6
30850;60
30852;60
30853;60
30856;50
30857;100
30858;100
30863;40
30876;25
30881;20
30882;50
30888;8
30891;30
30892;100
30958;150
30971;150
30981;5
30984;5
30992;50
30994;30
30996;100
31001;60
31005;60
31011;100
31013;500
31381;100
31385;100
31387;44
31389;120
31392;12
31393;2
31394;100
31396;10
31399;240
31400;240
31401;80
31402;116
31403;40
31453;30
31454;30
31456;30
31458;30
31459;30
31460;30
31461;30
31462;30
31463;30
31464;30
31465;30
31466;30
31467;30
31468;30
31469;30
31470;30
31471;30
31472;30
31473;30
31474;30
31475;30
31476;30
31477;30
31478;30
31479;30
31557;100
31561;40
31568;90
31569;60
32013;42
32014;12
32017;42
32019;30
32021;36
32025;24
32026;40
32027;40
32028;40
32029;25
32030;25
32160;50
7296;20
10383;38
11038;10
11148;4
12138;18
16197;192
16622;35
18973;2
21520;56
11193;450
15183;756
16516;78
18189;11
18207;115
18208;101
18209;230
18622;1260
18705;39
18706;30
18711;191
18713;221
18723;12
18725;170
18728;212
18730;140
18733;60
18734;240
18867;512
18881;512
18882;512
18891;512
18934;576
18936;576
18944;576
18947;576
18969;528
18970;528
18997;528
18998;528
18999;496
19010;496
19011;496
19016;496
19036;512
19041;512
19044;512
19063;512
19069;380
19073;384
19075;384
19076;384
21003;968
4875;227
8603;181
10415;198
10634;228
10857;230
11480;239
12220;233
12331;182
13332;188
13334;187
13349;182
13427;200
13499;240
13500;240
13501;240
13502;240
13510;200
13511;200
13512;240
13513;240
13514;240
13515;240
13516;200
13517;200
13518;200
13532;240
13533;230
13534;240
13535;200
13536;230
13537;240
13586;200
13594;198
13598;200
13742;233
13751;186
14075;200
14104;180
14359;185
14691;200
15432;229
15496;181
15506;231
16025;161
16150;229
16445;198
16624;180
16847;186
16923;200
17368;237
17443;229
17620;184
17704;182
17708;238
17721;199
17785;180
18010;182
18710;198
18795;181
18825;183
18899;185
19023;182
19638;186
19971;182
20037;184
20332;240
20713;181
22580;226
22585;186
22722;182
22763;182
22765;182
23985;185
25926;230
26497;238
26596;24
26597;20
26598;12
26617;186
26985;230
26986;240
26989;230
26994;240
26997;230
28471;230
28643;180
30181;198
31288;200
31291;200
31464;30
